"","name","date","jira_count","svn_count","email_count","jira_type","jira_priority","votes","watches","cluster"
"103","cm_t4",10,0,36,68,0,0,0,0,9
"104","cm_t4",11,0,21,105,0,0,0,0,9
"105","cm_t4",12,0,10,12,0,0,0,0,9
"106","cm_t4",13,0,34,76,0,0,0,0,9
"107","cm_t4",14,0,21,63,0,0,0,0,9
"108","cm_t4",15,0,5,26,0,0,0,0,9
"109","cm_t4",16,0,54,189,0,0,0,0,9
"110","cm_t4",17,0,64,40,0,0,0,0,9
"111","cm_t4",18,0,25,60,0,0,0,0,9
"112","cm_t4",19,0,21,39,0,0,0,0,9
"113","cm_t4",20,0,22,68,0,0,0,0,9
"114","cm_t4",21,0,15,105,0,0,0,0,9
"115","cm_t4",22,0,0,12,0,0,0,0,9
"116","cm_t4",23,0,58,66,0,0,0,0,9
"117","cm_t4",24,1,15,21,1,4,0,6,9
"118","cm_t4",25,0,21,60,0,0,0,0,9
"119","cm_t4",26,0,17,48,0,0,0,0,9
"120","cm_t4",27,0,17,24,0,0,0,0,9
"121","cm_t4",28,2,12,54,2,1,0,10,9
"122","cm_t4",29,6,8,20,2,4,0,50,9
"123","cm_t4",30,0,33,51,0,0,0,0,9
"124","cm_t4",31,8,45,36,1,4,0,20,9
"125","cm_t5",1,6,1629,162,1,3,0,24,3
"126","cm_t5",2,0,62,48,0,0,0,0,9
"127","cm_t5",3,0,78,75,0,0,0,0,9
"128","cm_t5",4,0,25,68,0,0,0,0,9
"129","cm_t5",5,0,45,45,0,0,0,0,9
"130","cm_t5",6,0,57,55,0,0,0,0,9
"131","cm_t5",7,0,18,30,0,0,0,0,9
"132","cm_t5",8,0,158,77,0,0,0,0,9
"133","cm_t5",9,0,30,24,0,0,0,0,9
"134","cm_t5",10,0,41,40,0,0,0,0,9
"135","cm_t5",11,0,120,65,0,0,0,0,9
"136","cm_t5",12,0,60,60,0,0,0,0,9
"137","cm_t5",13,0,198,70,0,0,0,0,9
"138","cm_t5",14,0,16,36,0,0,0,0,9
"139","cm_t5",15,7,58,175,1,4,0,42,9
"140","cm_t5",16,0,35,54,0,0,0,0,9
"141","cm_t5",17,5,28,80,0,4,0,15,9
"142","cm_t5",18,10,255,80,1,3,0,40,9
"143","cm_t5",19,0,40,30,0,0,0,0,9
"144","cm_t5",20,0,10,38,0,0,0,0,9
"145","cm_t5",21,5,68,95,1,4,0,10,9
"146","cm_t5",22,0,28,48,0,0,0,0,9
"147","cm_t5",23,3,47,36,1,4,0,6,9
"148","cm_t5",24,3,20,54,1,4,0,6,9
"149","cm_t5",25,0,59,15,0,0,0,0,9
"150","cm_t5",26,0,26,30,0,0,0,0,9
"151","cm_t5",27,0,48,0,0,0,0,0,9
"152","cm_t5",28,0,76,114,0,0,0,0,9
"153","cm_t5",29,6,50,78,1,4,0,30,9
"154","cm_t5",30,0,28,44,0,0,0,0,9
"155","cm_t5",31,1,3,4,1,1,0,2,9
"156","cm_t6",1,6,28,63,1,4,0,12,9
"157","cm_t6",2,2,18,44,0,4,0,10,9
"158","cm_t6",3,0,22,72,0,0,0,0,9
"159","cm_t6",4,0,102,64,0,0,0,0,9
"160","cm_t6",5,0,17,63,0,0,0,0,9
"161","cm_t6",6,0,92,78,0,0,0,0,9
"162","cm_t6",7,0,10,27,0,0,0,0,9
"163","cm_t6",8,0,48,70,0,0,0,0,9
"164","cm_t6",9,0,53,240,0,0,0,0,2
"165","cm_t6",10,0,46,126,0,0,0,0,9
"166","cm_t6",11,0,82,114,0,0,0,0,9
"167","cm_t6",12,3,7,4,2,5,0,5,9
"168","cm_t6",13,5,47,85,3,1,0,10,9
"169","cm_t6",14,6,49,42,1,3,0,12,9
"170","cm_t6",15,0,53,161,0,0,0,0,9
"171","cm_t6",16,0,47,160,0,0,0,0,9
"172","cm_t6",17,0,94,56,0,0,0,0,9
"173","cm_t6",18,0,42,80,0,0,0,0,9
"174","cm_t6",19,0,50,40,0,0,0,0,9
