"","name","date","project","email_count","svn_count","watches","votes","jira_count","jira_type","jira_priority"
"720","cm_t6",25,"team1",7,46,9,0,3,2,4
"721","cm_t6",26,"team1",17,5,4,0,1,1,4
"722","cm_t6",26,"team1",17,5,4,0,1,1,4
"723","cm_t6",26,"team1",17,99,4,0,1,1,4
"724","cm_t6",26,"team1",17,18,4,0,1,1,4
"725","cm_t6",27,"team1",8,11,9,2,2,1,4
"726","cm_t6",27,"team1",8,33,9,2,2,1,4
"727","cm_t6",27,"team1",8,10,9,2,2,1,4
"728","cm_t6",28,"team1",7,15,19,0,7,2,4
"729","cm_t6",28,"team1",7,5,19,0,7,2,4
"730","cm_t6",28,"team1",7,4,19,0,7,2,4
"731","cm_t6",28,"team1",7,5,19,0,7,2,4
"732","cm_t6",29,"team1",15,11,17,0,4,2,5
"733","cm_t6",29,"team1",15,16,17,0,4,2,5
"734","cm_t6",30,"team1",36,5,12,0,5,2,4
"735","cm_t6",30,"team1",36,3,12,0,5,2,4
"736","cm_t6",30,"team1",36,7,12,0,5,2,4
"737","cm_t6",31,"team1",16,5,11,0,3,2,4
"738","cm_t6",31,"team1",16,3,11,0,3,2,4
"805","cm_t8",1,"team1",25,15,14,0,2,2,4
"806","cm_t8",1,"team1",25,3,14,0,2,2,4
"807","cm_t8",1,"team1",25,17,14,0,2,2,4
"808","cm_t8",1,"team1",25,3,14,0,2,2,4
"831","cm_t8",10,"team1",18,7,1,0,1,2,4
"832","cm_t8",10,"team1",18,36,1,0,1,2,4
"833","cm_t8",10,"team1",18,3,1,0,1,2,4
"834","cm_t8",10,"team1",18,23,1,0,1,2,4
"835","cm_t8",10,"team1",18,3,1,0,1,2,4
"836","cm_t8",11,"team1",8,5,2,0,1,1,4
"837","cm_t8",11,"team1",8,3,2,0,1,1,4
"838","cm_t8",11,"team1",8,4,2,0,1,1,4
"839","cm_t8",11,"team1",8,5,2,0,1,1,4
"861","cm_t8",16,"team1",8,9,2,0,1,1,4
"862","cm_t8",16,"team1",8,9,2,0,1,1,4
"863","cm_t8",16,"team1",8,7,2,0,1,1,4
"864","cm_t8",16,"team1",8,9,2,0,1,1,4
"865","cm_t8",16,"team1",8,15,2,0,1,1,4
"866","cm_t8",16,"team1",8,3,2,0,1,1,4
"875","cm_t8",20,"team1",13,45,2,0,1,1,4
"876","cm_t8",20,"team1",13,28,2,0,1,1,4
"877","cm_t8",20,"team1",13,5,2,0,1,1,4
"878","cm_t8",20,"team1",13,4,2,0,1,1,4
"879","cm_t8",20,"team1",13,5,2,0,1,1,4
"882","cm_t8",23,"team1",17,10,8,0,1,1,4
"894","cm_t8",28,"team1",9,13,18,0,3,1,4
"895","cm_t8",28,"team1",9,29,18,0,3,1,4
"896","cm_t8",28,"team1",9,46,18,0,3,1,4
"897","cm_t8",28,"team1",9,7,18,0,3,1,4
"898","cm_t8",28,"team1",9,4,18,0,3,1,4
"899","cm_t8",28,"team1",9,5,18,0,3,1,4
"900","cm_t8",28,"team1",9,5,18,0,3,1,4
"901","cm_t8",28,"team1",9,11,18,0,3,1,4
"902","cm_t8",28,"team1",9,11,18,0,3,1,4
"903","cm_t8",28,"team1",9,5,18,0,3,1,4
"909","cm_t8",31,"team1",6,5,10,0,2,2,4
"910","cm_t8",31,"team1",6,3,10,0,2,2,4
"911","cm_t9",1,"team1",28,37,3,0,1,1,4
"912","cm_t9",1,"team1",28,7,3,0,1,1,4
"913","cm_t9",1,"team1",28,7,3,0,1,1,4
"914","cm_t9",1,"team1",28,22,3,0,1,1,4
"915","cm_t9",1,"team1",28,4,3,0,1,1,4
"1026","cm_t9",29,"team1",6,5,6,0,1,1,4
"1027","cm_t9",29,"team1",6,97,6,0,1,1,4
"1028","cm_t9",29,"team1",6,7,6,0,1,1,4
"1032","cm_t9",31,"team1",21,142,8,0,1,2,4
"1033","cm_t9",31,"team1",21,9,8,0,1,2,4
"1157","hb_t1",22,"team5",64,2,4,0,1,5,2
"1158","hb_t1",22,"team5",64,3,4,0,1,5,2
"1159","hb_t1",22,"team5",64,3,4,0,1,5,2
"1160","hb_t1",22,"team5",64,23,4,0,1,5,2
"1161","hb_t1",22,"team5",64,3,4,0,1,5,2
"1162","hb_t1",22,"team5",64,2,4,0,1,5,2
"1176","hb_t1",25,"team5",35,4,5,0,1,2,1
"1177","hb_t1",25,"team5",35,3,5,0,1,2,1
"1178","hb_t1",25,"team5",35,3,5,0,1,2,1
"1179","hb_t1",25,"team5",35,3,5,0,1,2,1
"1180","hb_t1",25,"team5",35,4,5,0,1,2,1
"1181","hb_t1",25,"team5",35,4,5,0,1,2,1
"1197","hb_t1",28,"team5",49,14,10,0,1,1,4
"1198","hb_t1",28,"team5",49,2,10,0,1,1,4
"1199","hb_t1",28,"team5",49,18,10,0,1,1,4
"1200","hb_t1",28,"team5",49,31,10,0,1,1,4
"1201","hb_t1",28,"team5",49,2,10,0,1,1,4
"1202","hb_t1",28,"team5",49,4,10,0,1,1,4
"1203","hb_t1",29,"team5",41,2,5,0,1,1,1
"1204","hb_t1",29,"team5",41,2,5,0,1,1,1
"1205","hb_t1",29,"team5",41,2,5,0,1,1,1
"1206","hb_t1",29,"team5",41,2,5,0,1,1,1
"1207","hb_t1",29,"team5",41,2,5,0,1,1,1
"1208","hb_t1",29,"team5",41,2,5,0,1,1,1
"1220","hb_t2",2,"team5",70,4,5,0,1,3,4
"1221","hb_t2",2,"team5",70,3,5,0,1,3,4
"1222","hb_t2",2,"team5",70,2,5,0,1,3,4
"1223","hb_t2",2,"team5",70,6,5,0,1,3,4
"1224","hb_t2",3,"team5",55,5,18,0,4,1,4
"1225","hb_t2",3,"team5",55,3,18,0,4,1,4
"1292","hb_t2",24,"team5",39,9,3,0,1,2,4
"1293","hb_t2",24,"team5",39,2,3,0,1,2,4
"1294","hb_t2",24,"team5",39,2,3,0,1,2,4
"1295","hb_t2",24,"team5",39,8,3,0,1,2,4
"1296","hb_t2",24,"team5",39,2,3,0,1,2,4
"1297","hb_t2",24,"team5",39,4,3,0,1,2,4
"1298","hb_t2",25,"team5",55,2,17,0,3,2,4
"1299","hb_t2",25,"team5",55,7,17,0,3,2,4
"1300","hb_t2",25,"team5",55,2,17,0,3,2,4
"1301","hb_t2",25,"team5",55,3,17,0,3,2,4
"1302","hb_t2",26,"team5",62,8,10,0,2,1,4
"1303","hb_t2",26,"team5",62,2,10,0,2,1,4
"1304","hb_t2",26,"team5",62,2,10,0,2,1,4
"1306","hb_t2",28,"team5",61,2,3,0,1,1,4
"1307","hb_t2",29,"team5",56,6,16,0,4,2,4
"1308","hb_t2",29,"team5",56,4,16,0,4,2,4
"1309","hb_t2",29,"team5",56,3,16,0,4,2,4
"1310","hb_t2",30,"team5",47,2,3,0,1,1,4
"1311","hb_t2",30,"team5",47,3,3,0,1,1,4
"1312","hb_t2",30,"team5",47,10,3,0,1,1,4
"1355","hb_t3",3,"team5",54,9,5,0,1,1,5
"1356","hb_t3",3,"team5",54,3,5,0,1,1,5
"1357","hb_t3",3,"team5",54,11,5,0,1,1,5
"1358","hb_t3",3,"team5",54,5,5,0,1,1,5
"1359","hb_t3",3,"team5",54,6,5,0,1,1,5
"1360","hb_t3",3,"team5",54,3,5,0,1,1,5
"1361","hb_t3",3,"team5",54,3,5,0,1,1,5
"1362","hb_t3",3,"team5",54,2,5,0,1,1,5
"1363","hb_t3",3,"team5",54,16,5,0,1,1,5
"1364","hb_t3",3,"team5",54,4,5,0,1,1,5
"1365","hb_t3",3,"team5",54,3,5,0,1,1,5
"1366","hb_t3",3,"team5",54,2,5,0,1,1,5
"1367","hb_t3",3,"team5",54,3,5,0,1,1,5
"1368","hb_t3",3,"team5",54,14,5,0,1,1,5
"1369","hb_t3",3,"team5",54,2,5,0,1,1,5
"1370","hb_t3",3,"team5",54,3,5,0,1,1,5
"1736","hb_t3",20,"team5",84,5,4,0,1,0,4
"1737","hb_t3",20,"team5",84,9,4,0,1,0,4
"1738","hb_t3",20,"team5",84,12,4,0,1,0,4
"1739","hb_t3",20,"team5",84,4,4,0,1,0,4
"1740","hb_t3",20,"team5",84,6,4,0,1,0,4
"1741","hb_t3",20,"team5",84,7,4,0,1,0,4
"1742","hb_t3",20,"team5",84,2,4,0,1,0,4
"1743","hb_t3",20,"team5",84,7,4,0,1,0,4
"1744","hb_t3",20,"team5",84,3,4,0,1,0,4
"1745","hb_t3",20,"team5",84,30,4,0,1,0,4
"1746","hb_t3",21,"team5",45,2,17,0,2,3,5
"1747","hb_t3",21,"team5",45,14,17,0,2,3,5
"1748","hb_t3",21,"team5",45,6,17,0,2,3,5
"1749","hb_t3",21,"team5",45,3,17,0,2,3,5
"1750","hb_t3",21,"team5",45,2,17,0,2,3,5
"1751","hb_t3",21,"team5",45,10,17,0,2,3,5
"1752","hb_t3",21,"team5",45,3,17,0,2,3,5
"1753","hb_t3",21,"team5",45,2,17,0,2,3,5
"1754","hb_t3",21,"team5",45,3,17,0,2,3,5
"1755","hb_t3",21,"team5",45,6,17,0,2,3,5
"1756","hb_t3",21,"team5",45,2,17,0,2,3,5
"1757","hb_t3",21,"team5",45,2,17,0,2,3,5
"1758","hb_t3",21,"team5",45,2,17,0,2,3,5
"1759","hb_t3",21,"team5",45,3,17,0,2,3,5
"1760","hb_t3",21,"team5",45,58,17,0,2,3,5
"1761","hb_t3",21,"team5",45,4,17,0,2,3,5
"1762","hb_t3",21,"team5",45,160,17,0,2,3,5
"1763","hb_t3",21,"team5",45,2,17,0,2,3,5
"1786","hb_t3",23,"team5",53,13,5,0,1,1,4
"1787","hb_t3",23,"team5",53,3,5,0,1,1,4
"1788","hb_t3",23,"team5",53,2,5,0,1,1,4
"1789","hb_t3",23,"team5",53,5,5,0,1,1,4
"1790","hb_t3",23,"team5",53,4,5,0,1,1,4
"1791","hb_t3",23,"team5",53,11,5,0,1,1,4
"1792","hb_t3",23,"team5",53,2,5,0,1,1,4
"1793","hb_t3",23,"team5",53,3,5,0,1,1,4
"1794","hb_t3",23,"team5",53,18,5,0,1,1,4
"1795","hb_t3",23,"team5",53,2,5,0,1,1,4
"1796","hb_t3",23,"team5",53,22,5,0,1,1,4
"1797","hb_t3",23,"team5",53,2,5,0,1,1,4
"1798","hb_t3",23,"team5",53,2,5,0,1,1,4
"1799","hb_t3",23,"team5",53,17,5,0,1,1,4
"1800","hb_t3",23,"team5",53,3,5,0,1,1,4
"1801","hb_t3",23,"team5",53,2,5,0,1,1,4
"1802","hb_t3",23,"team5",53,2,5,0,1,1,4
"1803","hb_t3",23,"team5",53,10,5,0,1,1,4
"1804","hb_t3",23,"team5",53,2,5,0,1,1,4
"1805","hb_t3",23,"team5",53,5,5,0,1,1,4
"1806","hb_t3",23,"team5",53,2,5,0,1,1,4
"1807","hb_t3",23,"team5",53,5,5,0,1,1,4
"1808","hb_t3",23,"team5",53,4,5,0,1,1,4
"1809","hb_t3",23,"team5",53,2,5,0,1,1,4
"1810","hb_t3",23,"team5",53,6,5,0,1,1,4
"1811","hb_t3",23,"team5",53,2,5,0,1,1,4
"1940","hb_t3",30,"team5",42,11,10,0,2,2,4
"1941","hb_t3",30,"team5",42,2,10,0,2,2,4
"1942","hb_t3",30,"team5",42,7,10,0,2,2,4
"1943","hb_t3",30,"team5",42,3,10,0,2,2,4
"1944","hb_t3",30,"team5",42,37,10,0,2,2,4
"1945","hb_t3",30,"team5",42,2,10,0,2,2,4
"1946","hb_t3",30,"team5",42,4,10,0,2,2,4
"1947","hb_t3",30,"team5",42,19,10,0,2,2,4
"1948","hb_t3",30,"team5",42,2,10,0,2,2,4
"1949","hb_t3",30,"team5",42,28,10,0,2,2,4
"1950","hb_t3",30,"team5",42,9,10,0,2,2,4
"1951","hb_t3",30,"team5",42,2,10,0,2,2,4
"1952","hb_t3",30,"team5",42,3,10,0,2,2,4
"1953","hb_t3",30,"team5",42,2,10,0,2,2,4
"1954","hb_t3",30,"team5",42,2,10,0,2,2,4
"1955","hb_t3",30,"team5",42,5,10,0,2,2,4
"1956","hb_t3",30,"team5",42,2,10,0,2,2,4
"1971","hb_t4",1,"team5",12,23672,3,0,1,1,5
"1972","hb_t4",1,"team5",12,2,3,0,1,1,5
"1973","hb_t4",1,"team5",12,4,3,0,1,1,5
"1974","hb_t4",1,"team5",12,4,3,0,1,1,5
"1975","hb_t4",1,"team5",12,4,3,0,1,1,5
"1976","hb_t4",1,"team5",12,5,3,0,1,1,5
"1977","hb_t4",1,"team5",12,5,3,0,1,1,5
"1978","hb_t4",2,"team5",22,8,5,0,1,1,5
"1979","hb_t4",2,"team5",22,20,5,0,1,1,5
"1980","hb_t4",2,"team5",22,27,5,0,1,1,5
"1981","hb_t4",2,"team5",22,21,5,0,1,1,5
"1982","hb_t4",2,"team5",22,3,5,0,1,1,5
"1983","hb_t4",2,"team5",22,3,5,0,1,1,5
"1984","hb_t4",2,"team5",22,4,5,0,1,1,5
"1985","hb_t4",2,"team5",22,4,5,0,1,1,5
"1986","hb_t4",3,"team5",22,13,3,0,1,1,4
"1987","hb_t4",3,"team5",22,31,3,0,1,1,4
"1988","hb_t4",3,"team5",22,20,3,0,1,1,4
"1989","hb_t4",3,"team5",22,9,3,0,1,1,4
"1990","hb_t4",3,"team5",22,3,3,0,1,1,4
"2093","hb_t4",16,"team5",22,4,1,0,1,0,4
