svn;email;issues
acmurthy;Abhijeet-Apsunde;Abhijeet-Apsunde	20131227	hadoop-hdfs-project	1
acmurthy;Abhijeet-Apsunde;Abhijeet-Apsunde	20131229	hadoop-hdfs-project	1
acmurthy;Abhilash-S-R-(JIRA);Abhilash-S-R-(JIRA)	20130226	hadoop-mapreduce-project	1
acmurthy;Abhiraj-Butala;Abhiraj-Butala	20130119	hadoop-yarn-project	1
acmurthy;Abhiraj-Butala;Abhiraj-Butala	20130120	hadoop-yarn-project	1
acmurthy;Abhishek-Bajpai-(JIRA);Abhishek-Bajpai-(JIRA)	20130213	hadoop-mapreduce-project	1
acmurthy;Abhishek-Bajpai-(JIRA);Abhishek-Bajpai-(JIRA)	20130218	hadoop-mapreduce-project	1
acmurthy;Abhishek-Gayakwad-(JIRA);Abhishek-Gayakwad-(JIRA)	20130313	hadoop-common-project	1
acmurthy;Abhishek-Gayakwad-(JIRA);Abhishek-Gayakwad-(JIRA)	20130325	hadoop-mapreduce-project	1
acmurthy;Abhishek-Gayakwad-(JIRA);Abhishek-Gayakwad-(JIRA)	20130326	hadoop-mapreduce-project	1
acmurthy;Abhishek-Kapoor-(JIRA);Abhishek-Kapoor-(JIRA)	20130707	hadoop-yarn-project	1
acmurthy;Abin-Shahab-(JIRA);Abin-Shahab-(JIRA)	20130121	hadoop-hdfs-project	1
acmurthy;Abin-Shahab-(JIRA);Abin-Shahab-(JIRA)	20130204	hive	1
acmurthy;Abin-Shahab-(JIRA);Abin-Shahab-(JIRA)	20130806	hive	1
acmurthy;Abin-Shahab-(JIRA);Abin-Shahab-(JIRA)	20130808	hive	2
acmurthy;Abin-Shahab-(JIRA);Abin-Shahab-(JIRA)	20130815	hive	1
acmurthy;Abin-Shahab-(JIRA);Abin-Shahab-(JIRA)	20130819	hadoop-common-project	1
acmurthy;Abin-Shahab-(JIRA);Abin-Shahab-(JIRA)	20130819	hive	7
acmurthy;Abin-Shahab-(JIRA);Abin-Shahab-(JIRA)	20131226	hadoop-hdfs-project	2
acmurthy;Abraham-Elmahrek;Abraham-Elmahrek	20130506	hadoop-yarn-project	1
acmurthy;Abraham-Elmahrek-(JIRA);Abraham-Elmahrek-(JIRA)	20131017	hadoop-common-project	1
acmurthy;AcCud-(JIRA);AcCud-(JIRA)	20130110	hbase	1
acmurthy;Achal-Soni-(JIRA);Achal-Soni-(JIRA)	20130812	pig	3
acmurthy;Achal-Soni-(JIRA);Achal-Soni-(JIRA)	20130813	pig	1
acmurthy;Achal-Soni-(JIRA);Achal-Soni-(JIRA)	20130814	pig	4
acmurthy;Achal-Soni-(JIRA);Achal-Soni-(JIRA)	20130821	pig	2
acmurthy;Achal-Soni-(JIRA);Achal-Soni-(JIRA)	20130822	pig	10
acmurthy;Achal-Soni-(JIRA);Achal-Soni-(JIRA)	20130823	pig	1
acmurthy;Achal-Soni-(JIRA);Achal-Soni-(JIRA)	20130829	pig	2
acmurthy;Adam-Cohen-(JIRA);Adam-Cohen-(JIRA)	20131029	pig	2
acmurthy;Adam-Faris;Adam-Faris	20131126	hadoop-hdfs-project	1
acmurthy;Adam-Faris-(JIRA);Adam-Faris-(JIRA)	20131126	hadoop-hdfs-project	1
acmurthy;Adam-Iezzi;Adam-Iezzi	20130730	hadoop-mapreduce-project	1
acmurthy;Adam-Kawa;Adam-Kawa	20130530	hadoop-common-project	3
acmurthy;Adam-Kawa-(JIRA);Adam-Kawa-(JIRA)	20131118	hadoop-yarn-project	1
acmurthy;Adam-Kawa-(JIRA);Adam-Kawa-(JIRA)	20131120	hive	6
acmurthy;Adam-Kawa-(JIRA);Adam-Kawa-(JIRA)	20131201	hadoop-mapreduce-project	1
acmurthy;Adam-Kawa-(JIRA);Adam-Kawa-(JIRA)	20131202	hadoop-hdfs-project	1
acmurthy;Adam-Monsen-(JIRA);Adam-Monsen-(JIRA)	20130214	hadoop-common-project	1
acmurthy;Adam-Muise;Adam-Muise	20131111	hadoop-hdfs-project	1
acmurthy;Adam-Muise;Adam-Muise	20131202	hadoop-hdfs-project	1
acmurthy;Adam-Muise;Adam-Muise	20131210	hadoop-yarn-project	1
acmurthy;Adam-Pocock-(JIRA);Adam-Pocock-(JIRA)	20130823	hadoop-hdfs-project	1
acmurthy;Adam-Silberstein;Adam-Silberstein	20130222	pig	1
acmurthy;Adam-Silberstein-(JIRA);Adam-Silberstein-(JIRA)	20130806	pig	3
acmurthy;Adela-Maznikar-(JIRA);Adela-Maznikar-(JIRA)	20130121	hbase	1
acmurthy;Adela-Maznikar-(JIRA);Adela-Maznikar-(JIRA)	20130127	hbase	1
acmurthy;Adela-Maznikar-(JIRA);Adela-Maznikar-(JIRA)	20130129	hbase	1
acmurthy;Adela-Maznikar-(JIRA);Adela-Maznikar-(JIRA)	20130314	hbase	1
acmurthy;Adela-Maznikar-(JIRA);Adela-Maznikar-(JIRA)	20130604	hbase	1
acmurthy;Adela-Maznikar-(JIRA);Adela-Maznikar-(JIRA)	20130807	hbase	5
acmurthy;Adela-Maznikar-(JIRA);Adela-Maznikar-(JIRA)	20131209	hbase	1
acmurthy;Aditya;Aditya	20130121	hbase	1
acmurthy;Aditya;Aditya	20130214	hbase	1
acmurthy;Aditya;Aditya	20130215	hbase	1
acmurthy;Aditya;Aditya	20130706	hbase	1
acmurthy;Aditya;Aditya	20131220	hbase	1
acmurthy;Aditya-Acharya-(JIRA);Aditya-Acharya-(JIRA)	20130122	hadoop-yarn-project	1
acmurthy;Aditya-Acharya-(JIRA);Aditya-Acharya-(JIRA)	20130123	hadoop-yarn-project	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20130103	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20130201	hive	2
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20130723	hbase	2
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20130829	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20130910	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20130918	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20130919	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20131008	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20131009	hbase	2
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20131011	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20131016	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20131024	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20131117	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20131127	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20131215	hbase	1
acmurthy;Aditya-Kishore-(JIRA);Aditya-Kishore-(JIRA)	20131218	hbase	1
acmurthy;Adline-Dsilva;Adline-Dsilva	20130910	hive	1
acmurthy;Adrian-Hains-(JIRA);Adrian-Hains-(JIRA)	20131108	hive	1
acmurthy;Adrian-Popescu;Adrian-Popescu	20131119	hive	1
acmurthy;Adrian-Popescu-(JIRA);Adrian-Popescu-(JIRA)	20131217	hive	6
acmurthy;Adrian-Sandulescu;Adrian-Sandulescu	20131009	hbase	1
acmurthy;Adrien-Mogenet;Adrien-Mogenet	20130815	hbase	1
acmurthy;Adrien-Mogenet;Adrien-Mogenet	20130816	hbase	1
acmurthy;Adrien-Mogenet;Adrien-Mogenet	20130818	hbase	1
acmurthy;Adrien-Mogenet-(JIRA);Adrien-Mogenet-(JIRA)	20130206	hbase	1
acmurthy;Adrien-Mogenet-(JIRA);Adrien-Mogenet-(JIRA)	20130818	hbase	1
acmurthy;Adrien-Mogenet-(JIRA);Adrien-Mogenet-(JIRA)	20130826	hbase	1
acmurthy;Ahmed-Eldawy;Ahmed-Eldawy	20130430	pig	1
acmurthy;Ahmed-Eldawy;Ahmed-Eldawy	20130501	pig	1
acmurthy;Ahmed-Eldawy;Ahmed-Eldawy	20130502	pig	3
acmurthy;Ahmed-Eldawy;Ahmed-Eldawy	20130505	pig	1
acmurthy;Ahmed-Eldawy;Ahmed-Eldawy	20130506	pig	1
acmurthy;Ahmed-Eldawy;Ahmed-Eldawy	20130524	pig	1
acmurthy;Ahmed-Eldawy;Ahmed-Eldawy	20130529	pig	1
acmurthy;Ahmed-Eldawy;Ahmed-Eldawy	20130603	pig	1
acmurthy;Ahmed-Eldawy-(JIRA);Ahmed-Eldawy-(JIRA)	20130129	pig	3
acmurthy;Ahmed-Eldawy-(JIRA);Ahmed-Eldawy-(JIRA)	20130131	pig	4
acmurthy;Ahmed-Eldawy-(JIRA);Ahmed-Eldawy-(JIRA)	20130501	pig	7
acmurthy;Ahmed-Eldawy-(JIRA);Ahmed-Eldawy-(JIRA)	20130603	pig	1
acmurthy;Ahmed-Eldawy-(JIRA);Ahmed-Eldawy-(JIRA)	20130703	pig	5
acmurthy;Ahmed-Radwan;Ahmed-Radwan	20130522	hadoop-common-project	1
acmurthy;Aijas-Mohammed;Aijas-Mohammed	20131021	hadoop-common-project	1
acmurthy;Aijas-Mohammed;Aijas-Mohammed	20131209	hadoop-common-project	1
acmurthy;Aimee-Cheng-(JIRA);Aimee-Cheng-(JIRA)	20130912	hadoop-common-project	1
acmurthy;Ajay-Bhat;Ajay-Bhat	20130711	hbase	1
acmurthy;Ajesh-Kumar-(JIRA);Ajesh-Kumar-(JIRA)	20130106	hadoop-yarn-project	1
acmurthy;Ajesh-Kumar-(JIRA);Ajesh-Kumar-(JIRA)	20130130	hive	1
acmurthy;Akihiro-Matsukawa-(JIRA);Akihiro-Matsukawa-(JIRA)	20131003	pig	3
acmurthy;Akihiro-Matsukawa-(JIRA);Akihiro-Matsukawa-(JIRA)	20131030	pig	2
acmurthy;Akihiro-Matsukawa-(JIRA);Akihiro-Matsukawa-(JIRA)	20131031	pig	6
acmurthy;Akihiro-Okuno-(JIRA);Akihiro-Okuno-(JIRA)	20130306	pig	1
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20130121	hadoop-common-project	1
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20130122	hadoop-common-project	1
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20130128	hadoop-common-project	1
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20130204	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20130710	hadoop-common-project	2
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20130711	hadoop-common-project	1
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20131016	hadoop-common-project	1
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20131017	hadoop-common-project	2
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20131018	hadoop-common-project	2
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20131018	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20131018	hadoop-mapreduce-project	1
acmurthy;Akira-AJISAKA;Akira-AJISAKA	20131018	hadoop-yarn-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130108	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130108	hadoop-yarn-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130114	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130115	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130115	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130116	hadoop-mapreduce-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130120	hadoop-yarn-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130121	hadoop-mapreduce-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130127	hadoop-yarn-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130128	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130129	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130130	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130131	hadoop-mapreduce-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130203	hadoop-hdfs-project	5
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130204	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130205	hadoop-yarn-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130823	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130828	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130829	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130829	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130830	hadoop-yarn-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130903	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130905	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130906	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130906	hadoop-yarn-project	2
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130910	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130912	hadoop-yarn-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20130920	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131003	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131009	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131014	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131014	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131017	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131111	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131111	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131120	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131121	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131121	hadoop-mapreduce-project	4
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131125	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131126	hadoop-yarn-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131202	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131212	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131216	hadoop-common-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131220	hadoop-hdfs-project	1
acmurthy;Akira-AJISAKA-(JIRA);Akira-AJISAKA-(JIRA)	20131224	hadoop-yarn-project	1
acube123;Akshay-Radia-(JIRA);Akshay-Radia-(JIRA)	20130923	hadoop-common-project	1
acube123;Alan-Choi-(JIRA);Alan-Choi-(JIRA)	20130507	hbase	1
amareshwari;Alan-Gates;Alan-Gates	20130103	hive	2
amareshwari;Alan-Gates;Alan-Gates	20130104	hive	1
amareshwari;Alan-Gates;Alan-Gates	20130108	hive	1
amareshwari;Alan-Gates;Alan-Gates	20130111	pig	1
amareshwari;Alan-Gates;Alan-Gates	20130116	hive	1
amareshwari;Alan-Gates;Alan-Gates	20130119	hive	1
amareshwari;Alan-Gates;Alan-Gates	20130121	hive	1
amareshwari;Alan-Gates;Alan-Gates	20130121	pig	1
amareshwari;Alan-Gates;Alan-Gates	20130124	pig	1
amarrk;Alan-Gates;Alan-Gates	20130125	pig	1
amarrk;Alan-Gates;Alan-Gates	20130130	pig	1
amarrk;Alan-Gates;Alan-Gates	20130205	hive	2
amarrk;Alan-Gates;Alan-Gates	20130211	pig	1
amarrk;Alan-Gates;Alan-Gates	20130212	pig	1
amarrk;Alan-Gates;Alan-Gates	20130219	pig	1
amarrk;Alan-Gates;Alan-Gates	20130220	pig	2
amarrk;Alan-Gates;Alan-Gates	20130222	pig	1
amarrk;Alan-Gates;Alan-Gates	20130223	pig	1
amarrk;Alan-Gates;Alan-Gates	20130309	hive	1
amarrk;Alan-Gates;Alan-Gates	20130313	hive	2
amarrk;Alan-Gates;Alan-Gates	20130315	hive	1
amarrk;Alan-Gates;Alan-Gates	20130316	hive	1
amarrk;Alan-Gates;Alan-Gates	20130320	pig	1
amarrk;Alan-Gates;Alan-Gates	20130326	hive	2
amarrk;Alan-Gates;Alan-Gates	20130422	hive	1
amarrk;Alan-Gates;Alan-Gates	20130502	pig	2
amarrk;Alan-Gates;Alan-Gates	20130503	pig	1
